pais,pais_codi,any,tech,tech_es,pct
Espanya,ES,2009,Venda electrònica,Venta electrónica,10.98
Espanya,ES,2010,Venda electrònica,Venta electrónica,10.7
Espanya,ES,2011,Venda electrònica,Venta electrónica,10.07
Espanya,ES,2012,Venda electrònica,Venta electrónica,15.87
Espanya,ES,2013,Venda electrònica,Venta electrónica,13.04
Espanya,ES,2014,Venda electrònica,Venta electrónica,21.79
Espanya,ES,2015,Venda electrònica,Venta electrónica,19.76
Espanya,ES,2016,Venda electrònica,Venta electrónica,21.77
Espanya,ES,2017,Venda electrònica,Venta electrónica,26.96
Espanya,ES,2018,Venda electrònica,Venta electrónica,26.5
Espanya,ES,2019,Venda electrònica,Venta electrónica,26.52
Espanya,ES,2020,Venda electrònica,Venta electrónica,35.92
Espanya,ES,2021,Venda electrònica,Venta electrónica,39.68
Espanya,ES,2022,Venda electrònica,Venta electrónica,40.5
Espanya,ES,2023,Venda electrònica,Venta electrónica,44.73
Espanya,ES,2024,Venda electrònica,Venta electrónica,45.48
Espanya,ES,2025,Venda electrònica,Venta electrónica,44.05
UE-27,EU27_2020,2009,Venda electrònica,Venta electrónica,13.28
UE-27,EU27_2020,2010,Venda electrònica,Venta electrónica,13.21
UE-27,EU27_2020,2011,Venda electrònica,Venta electrónica,15.31
UE-27,EU27_2020,2012,Venda electrònica,Venta electrónica,16.05
UE-27,EU27_2020,2013,Venda electrònica,Venta electrónica,21.72
UE-27,EU27_2020,2014,Venda electrònica,Venta electrónica,20.31
UE-27,EU27_2020,2015,Venda electrònica,Venta electrónica,23.22
UE-27,EU27_2020,2016,Venda electrònica,Venta electrónica,26.26
UE-27,EU27_2020,2017,Venda electrònica,Venta electrónica,26.28
UE-27,EU27_2020,2018,Venda electrònica,Venta electrónica,27.07
UE-27,EU27_2020,2019,Venda electrònica,Venta electrónica,30.38
UE-27,EU27_2020,2020,Venda electrònica,Venta electrónica,30.24
UE-27,EU27_2020,2021,Venda electrònica,Venta electrónica,35.6
UE-27,EU27_2020,2022,Venda electrònica,Venta electrónica,36.36
UE-27,EU27_2020,2023,Venda electrònica,Venta electrónica,38.43
UE-27,EU27_2020,2024,Venda electrònica,Venta electrónica,37.57
UE-27,EU27_2020,2025,Venda electrònica,Venta electrónica,39.01
Espanya,ES,2021,Intel·ligència artificial,Inteligencia artificial,4.97
Espanya,ES,2023,Intel·ligència artificial,Inteligencia artificial,5.14
Espanya,ES,2024,Intel·ligència artificial,Inteligencia artificial,8.68
Espanya,ES,2025,Intel·ligència artificial,Inteligencia artificial,14.0
UE-27,EU27_2020,2021,Intel·ligència artificial,Inteligencia artificial,6.0
UE-27,EU27_2020,2023,Intel·ligència artificial,Inteligencia artificial,6.08
UE-27,EU27_2020,2024,Intel·ligència artificial,Inteligencia artificial,11.29
UE-27,EU27_2020,2025,Intel·ligència artificial,Inteligencia artificial,15.46
Espanya,ES,2014,Núvol (cloud),Nube (cloud),15.36
Espanya,ES,2015,Núvol (cloud),Nube (cloud),11.3
Espanya,ES,2016,Núvol (cloud),Nube (cloud),16.35
Espanya,ES,2017,Núvol (cloud),Nube (cloud),19.27
Espanya,ES,2018,Núvol (cloud),Nube (cloud),20.72
Espanya,ES,2020,Núvol (cloud),Nube (cloud),21.85
Espanya,ES,2021,Núvol (cloud),Nube (cloud),25.07
Espanya,ES,2023,Núvol (cloud),Nube (cloud),25.48
Espanya,ES,2024,Núvol (cloud),Nube (cloud),27.31
Espanya,ES,2025,Núvol (cloud),Nube (cloud),33.27
UE-27,EU27_2020,2014,Núvol (cloud),Nube (cloud),13.29
UE-27,EU27_2020,2016,Núvol (cloud),Nube (cloud),15.98
UE-27,EU27_2020,2018,Núvol (cloud),Nube (cloud),17.88
UE-27,EU27_2020,2020,Núvol (cloud),Nube (cloud),26.64
UE-27,EU27_2020,2021,Núvol (cloud),Nube (cloud),33.91
UE-27,EU27_2020,2023,Núvol (cloud),Nube (cloud),37.66
UE-27,EU27_2020,2025,Núvol (cloud),Nube (cloud),43.08
