any,ecommerce_total_eur,ecommerce_cnae47_eur,pes_cnae47_ecommerce
2013,3432120633.65,1111558255.97,0.3238692268190694
2014,15891268471.93,4748009109.02,0.2987810014919063
2015,20013265929.94,5992392209.74,0.29942100558286866
2016,24184731493.58,6962950208.36,0.28790686430437984
2017,30406099104.67,7947665560.17,0.2613839260607204
2018,39242960863.25,9734589140.61,0.24805949720593554
2019,48826178232.99,11945620589.62,0.2446560640609139
2020,51676763911.71,17958237380.15,0.34751087376198203
2021,57746923624.94,18820545686.13,0.32591425663412654
2022,72399573709.01,20356134994.06,0.2811637410446067
2023,84175983560.51,22818236303.48,0.2710777509012067
2024,95207314412.34,25738691030.81,0.2703436305254501
2025,54097882030.479996,14280706565.76,0.26397903263040723
