pais_codi,pais,any,bens_meur,serveis_meur,bens_share,serveis_share
EA20,Eurozona,1995,1630098.0,1539192.0,51.43,48.57
EA20,Eurozona,1996,1710852.2,1617145.5,51.41,48.59
EA20,Eurozona,1997,1741012.1,1661654.3,51.17,48.83
EA20,Eurozona,1998,1800698.9,1732333.6,50.97,49.03
EA20,Eurozona,1999,1884588.0,1828063.2,50.76,49.24
EA20,Eurozona,2000,1971471.2,1949342.1,50.28,49.72
EA20,Eurozona,2001,2047413.1,2042833.9,50.06,49.94
EA20,Eurozona,2002,2087809.9,2123094.6,49.58,50.42
EA20,Eurozona,2003,2143079.0,2211634.5,49.21,50.79
EA20,Eurozona,2004,2208773.0,2315778.1,48.82,51.18
EA20,Eurozona,2005,2280353.2,2428273.8,48.43,51.57
EA20,Eurozona,2006,2373896.7,2549145.9,48.22,51.78
EA20,Eurozona,2007,2446471.3,2686149.9,47.67,52.33
EA20,Eurozona,2008,2520921.8,2767452.2,47.67,52.33
EA20,Eurozona,2009,2447096.2,2740420.2,47.17,52.83
EA20,Eurozona,2010,2499521.0,2811561.3,47.06,52.94
EA20,Eurozona,2011,2563661.1,2880299.9,47.09,52.91
EA20,Eurozona,2012,2580281.4,2908067.9,47.01,52.99
EA20,Eurozona,2013,2574633.6,2941834.2,46.67,53.33
EA20,Eurozona,2014,2573976.0,3020612.6,46.01,53.99
EA20,Eurozona,2015,2620438.1,3108702.0,45.74,54.26
EA20,Eurozona,2016,2671578.7,3194239.2,45.54,54.46
EA20,Eurozona,2017,2758250.2,3305071.0,45.49,54.51
EA20,Eurozona,2018,2835481.5,3420368.1,45.33,54.67
EA20,Eurozona,2019,2891225.0,3525050.2,45.06,54.94
EA20,Eurozona,2020,2816977.6,3073814.1,47.82,52.18
EA20,Eurozona,2021,3022795.2,3296859.4,47.83,52.17
EA20,Eurozona,2022,3328396.6,3818297.9,46.57,53.43
EA20,Eurozona,2023,3463473.2,4174796.7,45.34,54.66
EA20,Eurozona,2024,3530947.1,4391146.6,44.57,55.43
EA20,Eurozona,2025,3629502.0,4571916.9,44.25,55.75
ES,Espanya,1995,143297.0,151791.0,48.56,51.44
ES,Espanya,1996,152012.4,163775.0,48.14,51.86
ES,Espanya,1997,154988.1,169720.3,47.73,52.27
ES,Espanya,1998,162441.7,180626.5,47.35,52.65
ES,Espanya,1999,174052.0,195842.0,47.05,52.95
ES,Espanya,2000,185967.0,216803.0,46.17,53.83
ES,Espanya,2001,197144.0,235509.0,45.57,54.43
ES,Espanya,2002,202414.0,253511.0,44.4,55.6
ES,Espanya,2003,212096.0,270034.0,43.99,56.01
ES,Espanya,2004,225517.0,292221.0,43.56,56.44
ES,Espanya,2005,240922.0,314419.0,43.38,56.62
ES,Espanya,2006,257581.0,340195.0,43.09,56.91
ES,Espanya,2007,271774.0,365867.0,42.62,57.38
ES,Espanya,2008,277113.0,378688.0,42.26,57.74
ES,Espanya,2009,259736.0,366153.0,41.5,58.5
ES,Espanya,2010,269743.0,371442.0,42.07,57.93
ES,Espanya,2011,270121.0,373787.0,41.95,58.05
ES,Espanya,2012,264447.0,371958.0,41.55,58.45
ES,Espanya,2013,262302.0,361912.0,42.02,57.98
ES,Espanya,2014,266251.0,369646.0,41.87,58.13
ES,Espanya,2015,273190.0,380568.0,41.79,58.21
ES,Espanya,2016,281110.0,394409.0,41.61,58.39
ES,Espanya,2017,292785.0,416971.0,41.25,58.75
ES,Espanya,2018,300587.0,431151.0,41.08,58.92
ES,Espanya,2019,303073.0,442003.0,40.68,59.32
ES,Espanya,2020,277981.0,350579.0,44.23,55.77
ES,Espanya,2021,300012.0,395865.0,43.11,56.89
ES,Espanya,2022,330035.0,471092.0,41.2,58.8
ES,Espanya,2023,343035.0,521943.0,39.66,60.34
ES,Espanya,2024,353259.0,571207.0,38.21,61.79
ES,Espanya,2025,374483.0,606255.0,38.18,61.82
