any,mes,ipc
2002,1,69.53
2002,2,69.59
2002,3,70.165
2002,4,71.118
2002,5,71.374
2002,6,71.377
2002,7,70.882
2002,8,71.085
2002,9,71.351
2002,10,72.058
2002,11,72.169
2002,12,72.409
2003,1,72.111
2003,2,72.264
2003,3,72.765
2003,4,73.357
2003,5,73.289
2003,6,73.338
2003,7,72.878
2003,8,73.213
2003,9,73.431
2003,10,73.926
2003,11,74.167
2003,12,74.294
2004,1,73.773
2004,2,73.807
2004,3,74.322
2004,4,75.34
2004,5,75.784
2004,6,75.904
2004,7,75.328
2004,8,75.661
2004,9,75.796
2004,10,76.575
2004,11,76.767
2004,12,76.692
2005,1,76.046
2005,2,76.243
2005,3,76.846
2005,4,77.953
2005,5,78.102
2005,6,78.284
2005,7,77.805
2005,8,78.147
2005,9,78.627
2005,10,79.266
2005,11,79.386
2005,12,79.557
2006,1,79.234
2006,2,79.272
2006,3,79.833
2006,4,80.959
2006,5,81.251
2006,6,81.374
2006,7,80.89
2006,8,81.055
2006,9,80.922
2006,10,81.254
2006,11,81.455
2006,12,81.678
2007,1,81.129
2007,2,81.184
2007,3,81.8
2007,4,82.93
2007,5,83.158
2007,6,83.311
2007,7,82.704
2007,8,82.818
2007,9,83.09
2007,10,84.167
2007,11,84.77
2007,12,85.125
2008,1,84.598
2008,2,84.73
2008,3,85.482
2008,4,86.402
2008,5,86.985
2008,6,87.486
2008,7,87.066
2008,8,86.879
2008,9,86.861
2008,10,87.16
2008,11,86.79
2008,12,86.345
2009,1,85.281
2009,2,85.29
2009,3,85.43
2009,4,86.264
2009,5,86.234
2009,6,86.614
2009,7,85.874
2009,8,86.174
2009,9,85.971
2009,10,86.584
2009,11,87.053
2009,12,87.031
2010,1,86.158
2010,2,86.001
2010,3,86.639
2010,4,87.562
2010,5,87.756
2010,6,87.913
2010,7,87.519
2010,8,87.74
2010,9,87.801
2010,10,88.603
2010,11,89.084
2010,12,89.631
2011,1,88.975
2011,2,89.088
2011,3,89.754
2011,4,90.871
2011,5,90.841
2011,6,90.713
2011,7,90.226
2011,8,90.338
2011,9,90.559
2011,10,91.273
2011,11,91.643
2011,12,91.762
2012,1,90.753
2012,2,90.847
2012,3,91.458
2012,4,92.743
2012,5,92.606
2012,6,92.433
2012,7,92.217
2012,8,92.736
2012,9,93.649
2012,10,94.445
2012,11,94.328
2012,12,94.394
2013,1,93.188
2013,2,93.349
2013,3,93.678
2013,4,94.028
2013,5,94.201
2013,6,94.34
2013,7,93.853
2013,8,94.145
2013,9,93.969
2013,10,94.351
2013,11,94.547
2013,12,94.632
2014,1,93.373
2014,2,93.333
2014,3,93.541
2014,4,94.373
2014,5,94.395
2014,6,94.421
2014,7,93.533
2014,8,93.681
2014,9,93.824
2014,10,94.261
2014,11,94.195
2014,12,93.646
2015,1,92.141
2015,2,92.331
2015,3,92.92
2015,4,93.774
2015,5,94.222
2015,6,94.474
2015,7,93.597
2015,8,93.286
2015,9,92.999
2015,10,93.595
2015,11,93.937
2015,12,93.663
2016,1,91.876
2016,2,91.552
2016,3,92.139
2016,4,92.785
2016,5,93.292
2016,6,93.723
2016,7,93.041
2016,8,93.161
2016,9,93.165
2016,10,94.23
2016,11,94.572
2016,12,95.132
2017,1,94.609
2017,2,94.269
2017,3,94.249
2017,4,95.154
2017,5,95.097
2017,6,95.138
2017,7,94.482
2017,8,94.67
2017,9,94.835
2017,10,95.71
2017,11,96.147
2017,12,96.19
2018,1,95.153
2018,2,95.281
2018,3,95.393
2018,4,96.181
2018,5,97.048
2018,6,97.302
2018,7,96.604
2018,8,96.742
2018,9,96.978
2018,10,97.875
2018,11,97.768
2018,12,97.329
2019,1,96.085
2019,2,96.32
2019,3,96.669
2019,4,97.644
2019,5,97.834
2019,6,97.719
2019,7,97.113
2019,8,97.059
2019,9,97.059
2019,10,98.001
2019,11,98.167
2019,12,98.096
2020,1,97.139
2020,2,97.024
2020,3,96.652
2020,4,96.944
2020,5,96.938
2020,6,97.385
2020,7,96.511
2020,8,96.555
2020,9,96.7
2020,10,97.208
2020,11,97.367
2020,12,97.574
2021,1,97.583
2021,2,97.008
2021,3,97.949
2021,4,99.105
2021,5,99.572
2021,6,100.046
2021,7,99.292
2021,8,99.743
2021,9,100.575
2021,10,102.425
2021,11,102.738
2021,12,103.965
2022,1,103.567
2022,2,104.403
2022,3,107.566
2022,4,107.375
2022,5,108.262
2022,6,110.267
2022,7,109.986
2022,8,110.265
2022,9,109.498
2022,10,109.866
2022,11,109.734
2022,12,109.899
2023,1,109.668
2023,2,110.703
2023,3,111.111
2023,4,111.773
2023,5,111.719
2023,6,112.354
2023,7,112.544
2023,8,113.149
2023,9,113.348
2023,10,113.676
2023,11,113.28
2023,12,113.308
2024,1,113.404
2024,2,113.807
2024,3,114.674
2024,4,115.472
2024,5,115.776
2024,6,116.212
2024,7,115.66
2024,8,115.707
2024,9,115.009
2024,10,115.726
2024,11,116.01
2024,12,116.534
2025,1,116.733
2025,2,117.191
2025,3,117.26
2025,4,117.997
2025,5,118.077
2025,6,118.867
2025,7,118.777
2025,8,118.824
2025,9,118.485
2025,10,119.301
2025,11,119.532
2025,12,119.942
