pais,pais_codi,any,pct_empreses_evendes
Espanya,ES,2009,10.98
Espanya,ES,2010,10.7
Espanya,ES,2011,10.07
Espanya,ES,2012,15.87
Espanya,ES,2013,13.04
Espanya,ES,2014,21.79
Espanya,ES,2015,19.76
Espanya,ES,2016,21.77
Espanya,ES,2017,26.96
Espanya,ES,2018,26.5
Espanya,ES,2019,26.52
Espanya,ES,2020,35.92
Espanya,ES,2021,39.68
Espanya,ES,2022,40.5
Espanya,ES,2023,44.73
Espanya,ES,2024,45.48
Espanya,ES,2025,44.05
UE-27,EU27_2020,2009,13.28
UE-27,EU27_2020,2010,13.21
UE-27,EU27_2020,2011,15.31
UE-27,EU27_2020,2012,16.05
UE-27,EU27_2020,2013,21.72
UE-27,EU27_2020,2014,20.31
UE-27,EU27_2020,2015,23.22
UE-27,EU27_2020,2016,26.26
UE-27,EU27_2020,2017,26.28
UE-27,EU27_2020,2018,27.07
UE-27,EU27_2020,2019,30.38
UE-27,EU27_2020,2020,30.24
UE-27,EU27_2020,2021,35.6
UE-27,EU27_2020,2022,36.36
UE-27,EU27_2020,2023,38.43
UE-27,EU27_2020,2024,37.57
UE-27,EU27_2020,2025,39.01
